ticker,date,title,description,content,source,url,cleaned_text,sentiment_score,sentiment_category,Open,High,Low,Close,Volume,sentiment_score_lag_1,sentiment_score_lag_3,sentiment_score_lag_7
MSFT,2024-09-05 03:42:11,Is Microsoft Corporation (MSFT) the Best Augmented Reality Stock to Buy Now?,"We recently compiled a list of the 10 Best Augmented Reality Stocks To Buy Now. In this article, we are going to take a look at where Microsoft Corporation (...","We recently compiled a list of the 10 Best Augmented Reality Stocks To Buy Now. In this article, we are going to take a look at where Microsoft Corporation (NASDAQ:MSFT) stands against the other augm… [+8164 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/microsoft-corporation-msft-best-augmented-034211037.html,is microsoft corporation msft the best augmented reality stock to buy now we recently compiled a list of the  best augmented reality stocks to buy now in this article we are going to take a look at where microsoft corporation ,0.6666666666666666,Positive,407.62,413.1,406.13,408.39,14195516.0,,,
AMZN,2024-09-05 03:50:38,"Is Amazon.com, Inc. (AMZN) the Best Augmented Reality Stock to Buy Now?","We recently compiled a list of the 10 Best Augmented Reality Stocks To Buy Now. In this article, we are going to take a look at where Amazon.com, Inc...","We recently compiled a list of the 10 Best Augmented Reality Stocks To Buy Now. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against the other augmented… [+7637 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/amazon-com-inc-amzn-best-035038333.html,is amazoncom inc amzn the best augmented reality stock to buy now we recently compiled a list of the  best augmented reality stocks to buy now in this article we are going to take a look at where amazoncom inc,0.6666666666666666,Positive,175.0,179.875,174.995,177.89,40170526.0,,,
TSLA,2024-09-05 10:22:54,How Chinese Cars Like The XPeng Mona M03 Will Impact The Global Auto Industry,"In this article, I analyze the competitive landscape of electric vehicles (EVs) in China, focusing on the Xpeng Mona M03 and others’ effect on the global auto market. About 3 years ago, I wrote about cars that seemed to be impressive before, like the Xpeng P5…","Sign up for daily news updates from CleanTechnica on email. Or follow us on Google News!
In this article, I analyze the competitive landscape of electric vehicles (EVs) in China, focusing on the Xpe… [+8995 chars]","{'id': None, 'name': 'CleanTechnica'}",https://cleantechnica.com/2024/09/05/how-chinese-cars-like-the-xpeng-mona-m03-will-impact-the-global-auto-industry/,how chinese cars like the xpeng mona m will impact the global auto industry in this article i analyze the competitive landscape of electric vehicles evs in china focusing on the xpeng mona m and others effect on the global auto market about  years ago i wrote about cars that seemed to be impressive before like the xpeng p,0.25,Positive,223.49,235.0,222.25,230.17,119355013.0,,,
GOOGL,2024-09-05 11:00:00,Big Tech ‘Buy’ Signal Has Never Been Wrong,"Big Tech stock Alphabet (GOOGL) has pulled back to a historically bullish trendline, and chart support is mounting.","Since its 20-for-1 stock split on July 15, Alphabet (GOOGL) stock has become readily available to a whole new class of investor. However, GOOGL is nursing a 14% drawdown this quarter, as the Big Tech… [+1362 chars]","{'id': None, 'name': 'Forbes'}",https://www.forbes.com/sites/greatspeculations/2024/09/05/big-tech-buy-signal-has-never-been-wrong/,big tech buy signal has never been wrong big tech stock alphabet googl has pulled back to a historically bullish trendline and chart support is mounting,-0.1,Negative,156.3,159.45,155.9805,157.24,18688747.0,,,
GOOGL,2024-09-05 12:10:00,Google is gearing up for another big antitrust trial. Analysts say the impact will be 'minimal',"Google’s (GOOGL) second major antitrust trial this year, this time focusing on its dominance in the advertising market, is set to start next Monday. But Wedbush analysts aren’t too concerned with the business impacts of the case.Read more...","In This Story
Googles GOOGL second major antitrust trial this year, this time focusing on its dominance in the advertising market, is set to start next Monday. But Wedbush analysts arent too concern… [+2287 chars]","{'id': None, 'name': 'Quartz India'}",https://qz.com/google-adtech-market-antitrust-trial-doj-wedbush-1851640403,google is gearing up for another big antitrust trial analysts say the impact will be minimal googles googl second major antitrust trial this year this time focusing on its dominance in the advertising market is set to start next monday but wedbush analysts arent too concerned with the business impacts of the caseread more,0.0770833333333333,Positive,157.3,157.83,150.55,150.92,37912130.0,-0.1,,
NVDA,2024-09-05 13:49:38,"Stock market today: S&P 500, Nasdaq climb amid more soft jobs market data",Labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy.,"US stocks gained on Thursday as investors digested more weaker-than-expected labor market data that could help set expectations for both interest rate cut hopes and the health of the US economy.
The… [+3340 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-climb-amid-more-soft-jobs-market-data-134938220.html,stock market today sp  nasdaq climb amid more soft jobs market data labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy,0.0333333333333333,Neutral,108.04,108.15,100.95,102.83,413638098.0,,,
TSLA,2024-09-05 13:49:38,"Stock market today: S&P 500, Nasdaq climb amid more soft jobs market data",Labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy.,"US stocks gained on Thursday as investors digested more weaker-than-expected labor market data that could help set expectations for both interest rate cut hopes and the health of the US economy.
The… [+3340 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-climb-amid-more-soft-jobs-market-data-134938220.html,stock market today sp  nasdaq climb amid more soft jobs market data labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy,0.0333333333333333,Neutral,232.6,233.6,210.51,210.73,112177004.0,0.25,,
AMZN,2024-09-05 13:49:38,"Stock market today: S&P 500, Nasdaq climb amid more soft jobs market data",Labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy.,"US stocks gained on Thursday as investors digested more weaker-than-expected labor market data that could help set expectations for both interest rate cut hopes and the health of the US economy.
The… [+3340 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/live/stock-market-today-sp-500-nasdaq-climb-amid-more-soft-jobs-market-data-134938220.html,stock market today sp  nasdaq climb amid more soft jobs market data labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy,0.0333333333333333,Neutral,177.24,178.38,171.16,171.39,41466537.0,0.6666666666666666,,
AMZN,2024-09-05 19:28:44,"Amazon.com, Inc. (AMZN): An AI Stock You Should Not Have Missed","We recently compiled a list of the AI News You Should Not Have Missed. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN...","We recently compiled a list of the AI News You Should Not Have Missed. In this article, we are going to take a look at where Amazon.com, Inc. (NASDAQ:AMZN) stands against the other AI stocks.
Artifi… [+5467 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/amazon-com-inc-amzn-ai-192844890.html,amazoncom inc amzn an ai stock you should not have missed we recently compiled a list of the ai news you should not have missed in this article we are going to take a look at where amazoncom inc nasdaqamzn,0.0,Neutral,177.24,178.38,171.16,171.39,41466537.0,0.0333333333333333,,
AMZN,2024-09-05 20:02:15,"Stock market today: Dow, S&P 500 continue September swoon ahead of pivotal jobs report",Labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy.,"Thursday night will serve as the kickoff to the 2024 NFL season.
It was only three years ago the NFL signed a media rights deal that welcomed Amazon Prime Video (AMZN) into the fold as the exclusive… [+3028 chars]","{'id': None, 'name': 'Yahoo Entertainment'}",https://finance.yahoo.com/news/live/stock-market-today-dow-sp-500-continue-september-swoon-ahead-of-pivotal-jobs-report-200215727.html/,stock market today dow sp  continue september swoon ahead of pivotal jobs report labor data is in focus as the prospect of rate cuts fails to offset growing doubts about the health of the economy,0.0,Neutral,177.24,178.38,171.16,171.39,41466537.0,0.0,0.6666666666666666,
